Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Romanian,English
362,368,374,dus,shower
363,369,375,seama,out
364,370,376,erau,They were
365,371,377,între,between
366,372,378,dă-mi,give me
367,373,380,ți-a,did he
368,374,381,faceți,make
369,375,382,spune-mi,Tell me
370,376,383,lua,take
371,377,384,tare,loud
372,378,385,vorba,words
373,379,386,griji,worry
374,380,387,cazul,case
375,381,388,vreo,some
376,382,389,nu-l,not it
377,383,390,duci,go
378,384,391,ce-i,What's
379,385,392,ajutor,help
380,386,393,știm,KNOW
381,387,394,mort,dead
382,388,395,noaptea,the night
383,389,396,vorbim,talk
384,390,397,corect,correct
385,391,398,minunat,wonderful
386,392,399,ajuta,it helps
387,393,400,ele,they
388,394,401,poftim,here you go
389,395,402,fată,face
390,396,403,și-a,and
391,397,404,ucis,murdered
392,398,406,singură,one
393,399,407,altă,other
394,400,408,pune,put
395,401,409,încredere,trust
396,402,410,fiul,sonny
397,403,411,ciudat,strange
398,404,412,dumnezeule,Dear good
399,405,413,lăsat,dropped off
400,406,414,dr,Dr.
401,407,415,ba,nay
402,408,416,soția,wife
403,409,418,veți,will you
404,410,419,ascultă,listen
405,411,420,vorbit,spoken
406,412,421,uită-te,behold
407,413,422,adus,brought
408,414,423,familia,the family
409,415,424,oraș,Town
410,416,425,găsi,find
411,417,426,pasă,pasha
412,418,427,data,date
413,419,428,vii,are you coming
414,420,429,cap,head
415,421,430,cer,heaven
416,422,431,ales,chosen
417,423,432,crede,believe
418,425,434,mașina,car
419,426,435,nicio,any
422,429,438,duce,lead
423,430,439,lângă,by
425,432,442,știți,KNOW
426,434,444,uitat,forgotten
427,435,445,cunosc,know
428,436,446,treabă,the job
429,437,447,acel,that
430,438,448,odată,once time
431,439,449,pleacă,leaves
432,440,450,doamnă,Ms
433,441,451,dragă,Dear
434,442,452,joc,game
435,443,453,oricum,anyway
436,444,455,mergi,go
437,445,457,asemenea,also
438,446,458,lume,world
439,447,459,ochii,the eyes
440,448,460,ieși,go out
441,449,461,acord,agreement
442,450,463,veni,come
443,451,464,patru,four
444,452,465,iei,take
445,453,466,dimineața,morning
446,454,467,telefon,phone
447,455,468,prins,caught
448,456,469,fratele,brother
449,457,470,simplu,simple
450,458,471,același,same
451,459,472,întors,returned
452,460,473,salut,Hello
453,461,474,să-și,Let him
